191,NO GAME NO LIFE 游戏人生 ZERO,1话 , 2017年7月15日 , 榎宮祐（MF文庫J 『ノーゲーム・ノーライフ』／KADOKAWA刊） 、,8.0,2186人
192,无头骑士异闻录,26话 , 2010年1月7日 , 大森貴弘 、 成田良悟 、 岸田隆宏 、,8.0,7186人
193,四月是你的谎言,22话 , 2014年10月9日 ,,8.0,4804人
194,罗小黑战记,,2011年3月17日 ,,8.1,789人
195,太空丹迪,13话 , 2014年1月5日 ,,8.0,1734人
196,空之境界 第一章 俯瞰风景,1话 , 2007年12月1日 , あおきえい 、,8.0,4665人
197,人狼,,1999年11月17日 , 沖浦啓之 、 西尾鉄也、沖浦啓之 、,8.1,672人
198,回转企鹅罐,24话 , 2011年7月7日 , イクニチャウダー 、,8.0,5269人
199,超时空要塞,36话 , 1982年10月3日 , 石黒昇 、 スタジオぬえ 、,8.0,687人
200,机动战士高达,43话 , 1979年4月7日 , 富野由悠季 、 矢立肇、富野由悠季 、 安彦良和 、,8.0,1224人
201,龙珠Z,291话 , 1989年4月26日 , 鳥山明 、 中鶴勝祥 、,8.0,1095人
202,悠久之翼,12话 , 2007年10月6日 , 大沼心 、 minori、鏡遊、御影 、,8.0,2915人
203,精灵守护者,26话 , 2007年4月7日 , 神山健治 、 上橋菜穂子 、,8.0,876人
204,机动警察 OVA2,16话 , 1990年11月22日 , 吉永尚之 、 高田明美 、,8.2,189人
205,DARKER THAN BLACK -黑之契约者-,26话 , 2007年4月5日 , 岡村天斎 、 BONES、岡村天斎 、,8.0,4671人
206,爆漫王。,25话 , 2010年10月2日 , カサヰケンイチ、秋田谷典昭 、 小畑健、大場つぐみ 、 下谷智之 、,8.0,3427人
207,向阳素描 沙英・寻 毕业篇,2话 , 2013年11月27日 ,,8.1,280人
208,麻辣教师GTO,43话 , 1999年6月30日 , 阿部記之 、 藤沢とおる（講談社「少年マガジンKC」刊） 、 宇佐美皓一 、,8.0,810人
209,怪诞小镇 第一季,20话 , 2012年06月16日 ,,8.1,222人
210,银之匙 Silver Spoon 第二季,11话 , 2014年1月9日 , 出合小都美 、,8.0,2132人
211,进击的巨人 第三季,24话 , 2018年7月22日 , 諫山創（別冊少年マガジン連載／講談社） 、,8.0,464人
212,红猪,1话 , 1992年7月18日 , 宮崎駿 、 宮崎駿 、,8.0,1600人
213,银之匙 Silver Spoon,11话 , 2013年7月11日 , 荒川弘 、,8.0,2906人
214,蜡笔小新 呼风唤雨！大人帝国的反击,,2001年4月21日 , 原恵一 、 臼井儀人 、 末吉裕一、原勝徳 、,8.1,221人
215,×××HOLiC◆继,13话 , 2008年4月3日 , 水島努 、 CLAMP 、 黄瀬和哉 、,8.0,1555人
216,赌博默示录,26话 , 2007年10月2日 , 佐藤雄三 、 高田晴仁 、,8.0,1632人
217,小马驹G4 第四季,26话 , 2013年11月23日 ,,8.3,120人
218,搞笑漫画日和2,12话 , 2006年8月5日 , 大地丙太郎 、 増田こうすけ（集英社『月刊少年ジャンプ』連載） 、,8.0,1810人
219,物语系列 第二季,26话 , 2013年7月6日 , 板村智幸 、 西尾維新 、,8.0,3716人
220,勇者王GaoGaiGar Final, 8话 , 2000年1月21日 ,,8.2,162人
221,少年同盟 2,13话 , 2012年4月2日 , 神戸守 、 堀田きいち（掲載 月刊「Gファンタジー」スクウェア・エニックス刊） 、,8.0,1606人
222,JOJO的奇妙冒险 不灭钻石,39话 , 2016年4月1日 , 荒木飛呂彦「ジョジョの奇妙な冒険 Part4 ダイヤモンドは砕けない」（週刊少年ジャンプ 、 集英社） 、,8.0,1692人
223,秀逗魔导士NEXT,26话 , 1996年4月5日 , 渡部高志 、 神坂一 、 宮田奈保美 、,8.0,778人
224,蓝宝石之谜,39话 , 1990年4月13日 , 樋口真嗣（第23 - 39話） 、,8.0,822人
225,天体战士,26话 , 2008年10月3日 , 岸誠二 、 森田和明 、,8.0,951人
226,萩萩公主,26话 , 2002年8月16日 , 河本昇悟 、 伊藤郁子 、,8.1,232人
227,男子高中生的日常,12话 , 2012年1月9日 , 山内泰延(掲載「ガンガンONLINE」スクウェア・エニックス刊) 、,8.0,7158人
228,搞笑漫画日和3,12话 , 2008年3月17日 , 大地丙太郎 、 増田こうすけ（集英社『ジャンプスクエア』連載） 、,8.0,1851人
229,魔术师,,2010年6月16日 , Sylvain Chomet 、,8.2,154人
230,天体战士 第2期,26话 , 2009年10月3日 , 松本剛彦 、 森田和明 、,8.0,646人
231,交响情人梦Finale,11话 , 2010年1月14日 , 今千秋 、,8.0,1093人
232,悠哉日常大王,12话 , 2013年10月7日 , 川面真也 、 あっと 、 大塚舞 、,8.0,3770人
233,魔法少女小圆 剧场版 [后篇] 永远的物语,,2012年10月13日 , 宮本幸裕 、 岸田隆宏、谷口淳一郎 、,7.9,1949人
234,星游记,26话 , 2011年10月30日 ,,8.0,600人
235,Fate/stay night [Heaven’s Feel] I.presage flower,1话 , 2017年10月14日 , 須藤友徳 、 奈須きのこ／TYPE-MOON 、,8.0,1396人
236,降世神通：最后的气宗 第三季,21话 , 2007年9月21日 , Michael Dante DiMartin、Bryan Konietzko 、,8.1,293人
237,少女终末旅行,12话 , 2017年10月6日 , つくみず（新潮社「くらげバンチ」連載） 、,7.9,2937人
238,监狱兔 第四季,13话 , 2011年3月26日 , 富岡聡、宮崎あぐり 、 宮崎あぐり 、,8.0,1146人
239,悠哉日常大王 Repeat,12话 , 2015年7月6日 ,,8.0,2230人
240,机动战舰 -The prince of darkness-,1话 , 1998年8月8日 , 佐藤竜雄 、 後藤圭二 、,8.0,570人
241,降世神通：最后的气宗 第二季,20话 , 2006年3月17日 , Michael Dante DiMartino、Bryan Konietzko 、,8.1,281人
242,寻梦环游记,1话 , 2017年11月22日 , Lee Unkrich 、,8.0,910人
243,南方公园 第16季,14话 , 2012年3月14日 ,,8.1,242人
244,南方公园 第15季,14话 , 2011年04月27日 ,,8.1,247人
245,校园迷糊大王 二学期,26话 , 2006年4月2日 , 金﨑貴臣 、 小林尽 、 渡辺はじめ 、,8.0,1384人
246,红线,,2010年10月9日 , 小池健 、 石井克人 、,8.0,808人
247,魔法少女奈叶 The MOVIE 2nd A’s,,2012年7月14日 , 草川啓造 、 都築真紀 、,8.0,899人
248,灵异E接触,13话 , 2011年1月10日 , 加藤敏幸 、 冨樫義博（「レベルE」集英社ジャンプコミックス） 、,7.9,2642人
249,超时空要塞Plus,4话 , 1994年8月25日 , 渡辺信一郎 、 スタジオぬえ、河森正治 、 摩砂雪 、,8.0,549人
250,苍穹之法芙娜 EXODUS,13话 , 2015年1月8日 , 羽原信義 、 XEBEC 、,8.0,664人
251,娜娜,50话 , 2006年4月5日 , 浅香守生 、 矢沢あい 、,8.0,1399人
252,恶魔人 crybaby,10话 , 2018年1月5日 , 湯浅政明 、 永井豪「デビルマン」 、,7.9,1999人
253,异邦人 无皇刃谭,,2007年9月29日 , 安藤真裕 、,7.9,1888人
254,宇宙骑士BLADE,49话 , 1992年2月18日 , ねぎしひろし 、 TOlllO（湖川友謙）、佐野浩敏 、,8.0,414人
255,斩服少女,25话 , 2013年10月3日 , 今石洋之 、,7.9,4477人
256,空之境界 第二章 杀人考察（前）,1话 , 2007年12月29日 , 野中卓也 、 奈須きのこ 、 須藤友徳 、,7.9,4164人
257,黑礁,12话 , 2006年4月8日 , 片渕須直 、 広江礼威（小学館刊『月刊サンデージェネックス』連載） 、,7.9,2595人
